threads,initial,total_ops,search,insert,impl,elapsed,ops_per_sec
1,100,10000,0.8,0.1,custom,1.693296e-02,5.905641e+05
1,100,10000,0.8,0.1,stdlib,2.774811e-02,3.603849e+05
1,500,100000,0.8,0.1,custom,1.422960e+00,7.027604e+04
1,500,100000,0.8,0.1,stdlib,1.328339e+00,7.528198e+04
1,500,100000,0.9,0.05,custom,6.203508e-01,1.611991e+05
1,500,100000,0.9,0.05,stdlib,6.331971e-01,1.579287e+05
1,500,100000,0.33,0.33,custom,1.342883e+01,7.446666e+03
1,500,100000,0.33,0.33,stdlib,1.666163e+01,6.001813e+03
2,100,10000,0.8,0.1,custom,2.788210e-02,3.586531e+05
2,100,10000,0.8,0.1,stdlib,2.200389e-02,4.544651e+05
2,500,100000,0.8,0.1,custom,2.838721e+00,3.522713e+04
2,500,100000,0.8,0.1,stdlib,3.359898e+00,2.976281e+04
2,500,100000,0.9,0.05,custom,3.131807e+00,3.193045e+04
2,500,100000,0.9,0.05,stdlib,1.574865e+00,6.349750e+04
2,500,100000,0.33,0.33,custom,1.751175e+01,5.710452e+03
2,500,100000,0.33,0.33,stdlib,2.109959e+01,4.739428e+03
4,100,10000,0.8,0.1,custom,3.431582e-02,2.914107e+05
4,100,10000,0.8,0.1,stdlib,4.607391e-02,2.170426e+05
4,500,100000,0.8,0.1,custom,3.836948e+00,2.606238e+04
4,500,100000,0.8,0.1,stdlib,2.717416e+00,3.679966e+04
4,500,100000,0.9,0.05,custom,1.448085e+00,6.905672e+04
4,500,100000,0.9,0.05,stdlib,1.311288e+00,7.626090e+04
4,500,100000,0.33,0.33,custom,2.533473e+01,3.947150e+03
4,500,100000,0.33,0.33,stdlib,1.573889e+01,6.353688e+03
8,100,10000,0.8,0.1,custom,1.830120e-01,5.464122e+04
8,100,10000,0.8,0.1,stdlib,5.877304e-02,1.701460e+05
8,500,100000,0.8,0.1,custom,5.604364e+00,1.784324e+04
8,500,100000,0.8,0.1,stdlib,5.550917e+00,1.801504e+04
8,500,100000,0.9,0.05,custom,2.468926e+00,4.050344e+04
8,500,100000,0.9,0.05,stdlib,1.318580e+00,7.583915e+04
8,500,100000,0.33,0.33,custom,2.545000e+01,3.929273e+03
8,500,100000,0.33,0.33,stdlib,1.622359e+01,6.163864e+03
